pygame 2.0.1 (SDL 2.0.9, Python 3.7.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         67296374 function calls (67291979 primitive calls) in 27.451 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72   16.195    0.225   26.655    0.370 dsp.py:1173(refresh)
 22118401    4.325    0.000    4.325    0.000 {method 'set_at' of 'pygame.Surface' objects}
 22122496    4.045    0.000    4.045    0.000 {method 'get_at' of 'pygame.Surface' objects}
 22118400    2.029    0.000    2.029    0.000 circle_popper.py:49(invert)
        1    0.108    0.108    0.108    0.108 {built-in method pygame.base.init}
    11299    0.079    0.000    0.079    0.000 {method 'blit' of 'pygame.Surface' objects}
        1    0.078    0.078    0.078    0.078 {built-in method pygame.joystick.init}
        1    0.051    0.051    0.051    0.051 {built-in method pygame.base.quit}
      120    0.049    0.000    0.049    0.000 {method 'poll' of 'select.poll' objects}
        1    0.032    0.032    0.179    0.179 {built-in method pygame.display.set_mode}
       72    0.019    0.000    0.019    0.000 {built-in method pygame.display.flip}
    32/30    0.017    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
    56414    0.013    0.000    0.020    0.000 sysfont.py:60(<genexpr>)
      169    0.009    0.000    0.009    0.000 {method 'fill' of 'pygame.Surface' objects}
       93    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
     1116    0.009    0.000    0.091    0.000 dsp.py:3912(collision)
        5    0.009    0.002    0.067    0.013 gfx.py:1430(draw_text)
     2921    0.008    0.000    0.020    0.000 gfx.py:101(__init__)
   477/81    0.007    0.000    0.020    0.000 sre_parse.py:475(_parse)
     5580    0.007    0.000    0.024    0.000 dsp.py:3715(mask)
     2450    0.007    0.000    0.018    0.000 dsp.py:4327(x)
     4464    0.007    0.000    0.014    0.000 r.py:1208(s_get_precise_mask)
     4299    0.007    0.000    0.045    0.000 sysfont.py:247(_parse_font_entry_unix)
     1265    0.006    0.000    0.008    0.000 r.py:821(r_get_rectangle_object_areas)
7787/7783    0.006    0.000    0.026    0.000 {method 'join' of 'str' objects}
     2450    0.006    0.000    0.015    0.000 dsp.py:4345(y)
     1468    0.006    0.000    0.015    0.000 version.py:198(__init__)
     2004    0.005    0.000    0.005    0.000 {built-in method posix.stat}
     9108    0.005    0.000    0.006    0.000 r.py:70(add)
    50333    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
  377/374    0.004    0.000    0.025    0.000 {built-in method builtins.__build_class__}
       74    0.004    0.000    0.004    0.000 {method 'tick' of 'Clock' objects}
    60838    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
        1    0.004    0.004   26.944   26.944 dsp.py:476(start)
     2088    0.004    0.000    0.008    0.000 r.py:1154(s_get_image)
    14773    0.004    0.000    0.005    0.000 dsp.py:366(grab_input)
     4900    0.004    0.000    0.006    0.000 mouse.py:80(get_x)
     2823    0.003    0.000    0.004    0.000 r.py:148(_get_blend_flags)
       72    0.003    0.000    0.003    0.000 {built-in method pygame.event.peek}
    20356    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      237    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
    58763    0.003    0.000    0.003    0.000 {method 'isalnum' of 'str' objects}
     4935    0.003    0.000    0.009    0.000 posixpath.py:121(splitext)
     4935    0.003    0.000    0.005    0.000 genericpath.py:117(_splitext)
   803/77    0.003    0.000    0.009    0.000 sre_compile.py:71(_compile)
    10608    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
     3348    0.003    0.000    0.014    0.000 dsp.py:3747(mask_x)
    12917    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
36087/35160    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    16514    0.003    0.000    0.003    0.000 {built-in method builtins.round}
     4900    0.003    0.000    0.005    0.000 mouse.py:94(get_y)
    27528    0.003    0.000    0.003    0.000 dsp.py:3373(sprite)
      261    0.003    0.000    0.003    0.000 {built-in method io.open}
      287    0.003    0.000    0.003    0.000 {method 'splitlines' of 'str' objects}
     3348    0.003    0.000    0.012    0.000 dsp.py:3773(mask_y)
      441    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     2473    0.002    0.000    0.004    0.000 gfx.py:196(__iter__)
     1468    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      854    0.002    0.000    0.003    0.000 version.py:343(_cmpkey)
      360    0.002    0.000    0.005    0.000 r.py:579(o_update)
    11620    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
     9108    0.002    0.000    0.004    0.000 r.py:77(get)
     7422    0.002    0.000    0.003    0.000 dsp.py:2948(wport)
     1112    0.002    0.000    0.100    0.000 circle_popper.py:75(event_mouse_move)
    23922    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      326    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
     9800    0.002    0.000    0.002    0.000 {built-in method pygame.mouse.get_pos}
     1116    0.002    0.000    0.004    0.000 collision.py:52(masks_collide)
       72    0.002    0.000    0.101    0.001 circle_popper.py:118(event_step)
     5565    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
        1    0.002    0.002    0.002    0.002 snd.py:146(__init__)
     7422    0.002    0.000    0.003    0.000 dsp.py:2956(hport)
     1188    0.002    0.000    0.009    0.000 dsp.py:2294(get_objects_at)
     1002    0.002    0.000    0.003    0.000 posixpath.py:75(join)
     4100    0.002    0.000    0.002    0.000 sysfont.py:63(_addfont)
     4464    0.002    0.000    0.002    0.000 r.py:710(o_is_other)
     2921    0.002    0.000    0.003    0.000 gfx.py:183(alpha)
     1825    0.002    0.000    0.002    0.000 gfx.py:134(<listcomp>)
     4102    0.002    0.000    0.026    0.000 sysfont.py:57(_simplename)
      610    0.002    0.000    0.005    0.000 version.py:131(_legacy_cmpkey)
    11684    0.002    0.000    0.002    0.000 r.py:104(_check_color_input)
    10625    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
      306    0.001    0.000    0.036    0.000 __init__.py:2546(from_location)
     2662    0.001    0.000    0.003    0.000 version.py:114(_parse_version_parts)
     2524    0.001    0.000    0.002    0.000 dsp.py:3589(image_origin_y)
     4753    0.001    0.000    0.002    0.000 gfx.py:444(frames)
     2921    0.001    0.000    0.002    0.000 gfx.py:159(red)
     2524    0.001    0.000    0.002    0.000 dsp.py:3566(image_origin_x)
      261    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
  944/227    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
    14773    0.001    0.000    0.001    0.000 {built-in method pygame.event.get_grab}
     8858    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1156    0.001    0.000    0.019    0.000 __init__.py:2712(_get_metadata)
      608    0.001    0.000    0.042    0.000 __init__.py:2092(distributions_from_metadata)
     1296    0.001    0.000    0.006    0.000 dsp.py:2521(project_sprite)
     2921    0.001    0.000    0.002    0.000 gfx.py:167(green)
      122    0.001    0.000    0.001    0.000 {built-in method posix.read}
      216    0.001    0.000    0.074    0.000 r.py:1244(s_from_text)
      288    0.001    0.000    0.001    0.000 {built-in method pygame.key.get_pressed}
     8059    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2867    0.001    0.000    0.001    0.000 r.py:112(_check_color)
    10016    0.001    0.000    0.001    0.000 dsp.py:2939(height)
     9200    0.001    0.000    0.001    0.000 {built-in method time.time}
    114/1    0.001    0.000   27.452   27.452 {built-in method builtins.exec}
     2921    0.001    0.000    0.002    0.000 gfx.py:175(blue)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
      558    0.001    0.000    0.012    0.000 __init__.py:1325(safe_version)
     2181    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    10088    0.001    0.000    0.001    0.000 dsp.py:2930(width)
      391    0.001    0.000    0.034    0.000 re.py:271(_compile)
       93    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1189    0.001    0.000    0.018    0.000 dsp.py:4381(tangible)
     3216    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     3020    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      288    0.001    0.000    0.002    0.000 dsp.py:4140(event_update_position)
   328/77    0.001    0.000    0.020    0.000 sre_parse.py:417(_parse_sub)
       72    0.001    0.000    0.008    0.000 circle_popper.py:35(event_step)
      554    0.001    0.000    0.002    0.000 version.py:236(__str__)
     1023    0.001    0.000    0.004    0.000 __init__.py:2346(yield_lines)
     3036    0.001    0.000    0.001    0.000 version.py:65(_compare)
        1    0.001    0.001    0.100    0.100 sysfont.py:216(initsysfonts_unix)
     1538    0.001    0.000    0.001    0.000 __init__.py:2037(dist_factory)
     2181    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
